iso3,year,bloc,tapio,regime_viterbi
SVN,2007,EU,SD,2
SVN,2008,EU,WD,2
SVN,2009,EU,RND,1
SVN,2010,EU,SD,1
SVN,2011,EU,END,1
SVN,2012,EU,RND,1
SVN,2013,EU,RND,1
SVN,2014,EU,END,2
SVN,2015,EU,SD,2
SVN,2016,EU,WD,2
SVN,2017,EU,SD,2
SVN,2018,EU,WD,2
SVN,2019,EU,END,2
SVN,2020,EU,RND,1
SVN,2021,EU,END,1
SVN,2022,EU,SD,1
SVN,2023,EU,END,1
SVN,2024,EU,END,1
SWE,1995,EU,WD,2
SWE,1996,EU,END,2
SWE,1997,EU,SD,2
SWE,1998,EU,END,2
SWE,1999,EU,END,2
SWE,2000,EU,SD,2
SWE,2001,EU,SD,2
SWE,2002,EU,END,2
SWE,2003,EU,END,2
SWE,2004,EU,WD,2
SWE,2005,EU,END,2
SWE,2006,EU,SD,2
SWE,2007,EU,END,2
SWE,2008,EU,SND,2
SWE,2009,EU,RND,1
SWE,2010,EU,END,1
SWE,2011,EU,END,1
SWE,2012,EU,RC,1
SWE,2013,EU,SD,2
SWE,2014,EU,WD,2
SWE,2015,EU,SD,2
SWE,2016,EU,EC,2
SWE,2017,EU,END,2
SWE,2018,EU,WD,2
SWE,2019,EU,SD,2
SWE,2020,EU,SND,2
SWE,2021,EU,WD,2
SWE,2022,EU,SD,2
SWE,2023,EU,SND,2
SWE,2024,EU,END,2
URY,1995,MERCOSUR,SND,2
URY,1996,MERCOSUR,END,2
URY,1997,MERCOSUR,END,2
URY,1998,MERCOSUR,END,2
URY,1999,MERCOSUR,SND,2
URY,2000,MERCOSUR,RND,1
URY,2001,MERCOSUR,RND,1
URY,2002,MERCOSUR,RD,1
URY,2003,MERCOSUR,SD,2
URY,2004,MERCOSUR,END,2
URY,2005,MERCOSUR,END,2
